data,pais,inflacao_yoy
2023-01-01,Portugal,8.5
2023-02-01,Portugal,8.2
2023-03-01,Portugal,7.4
2023-04-01,Portugal,6.9
2023-05-01,Portugal,6.4
2023-06-01,Portugal,5.7
2023-07-01,Portugal,5.3
2023-08-01,Portugal,5.2
2023-09-01,Portugal,4.9
2023-10-01,Portugal,4.3
2023-11-01,Portugal,3.6
2023-12-01,Portugal,3.4
2024-01-01,Portugal,2.5
2024-02-01,Portugal,2.3
2024-03-01,Portugal,2.2
2024-04-01,Portugal,2.0
2024-05-01,Portugal,2.1
2024-06-01,Portugal,2.2
2024-07-01,Portugal,2.3
2024-08-01,Portugal,2.4
2024-09-01,Portugal,2.6
